bloc,hassaniya_ar,hassaniya_norm,pulaar,english,sentiment,nuance
tweets,عندي حساسية موسمية (hayfever) و ماني صايبة مع اني لا مگعد في الدار فرص,عندي حساسيه موسميه (hayfever) و ماني صايبه مع اني لا مگعد في الدار فرص,Mido danyi jontere hayfever kadi mi waawaa leloo e leydi. Mido añi ɗum.,has hayfever  and can't be arsed with being grounded. i hate it.,negatif,non
tweets,نبقي الحياة... ونبقيك املي.,نبقي الحياه.. ونبقيك املي.,Mido yiɗi nguurndam... kadi mido yiɗi maa,loving life... and loving you,positif,non
tweets,نسيت تلفوني فالدار . نحس عني متعري من دونها,نسيت تلفوني فالدار . نحس عني متعري من دونها,Mido jiggito iPhone am e suudu. Mido sike alaa ko mi ɓorni tawa alaa mo,I forgot my iphone at home. I feel naked without it,negatif,non
tweets,ماشي نرگد . گالة صحتي اليوم . حاس بالحمة,ماشي نرگد . گاله صحتي اليوم . حاس بالحمه,Mido yaha leloode. Mi sellani hannde ndee. Mido danyi jontere.,Going to bed. I am not feeling well today. Got a fever.,negatif,non
tweets,لا نشرب كافة متمني انها تعود ستاربوكس,لا نشرب كافه متمني انها تعود ستاربوكس,Mido yarata kafe mido yiɗnoo yo won Starbucks,I keep drinking coffee wishing it was Starbucks,negatif,non
tweets,هلكان و كاتلني الراس,هلكان و كاتلني الراس,Mido tampi kadi hoore am ina metti sanne,exhausted and I have a brutal headache,negatif,non
tweets,الاستاذ ايبود موجوع.,الاستاذ ايبود موجوع.,iPod am mbonniima,Mr. iPod is sick,negatif,non
tweets,اوكي، ذه كان امحالي حت.,اوكي، ذه كان امحالي حت.,"Hakiika, ɗum wonaa heen.","Well, that sucked.",negatif,non
tweets,ذه اسبوع ماهُ ماشي كيف ماكنت نبقي.,ذه اسبوع ماه ماشي كيف ماكنت نبقي.,Yontere ndee yahraani no mi yaakoroo,this week is not going as i had hoped,negatif,non
tweets,مستحفي خوي -- مافم حد يدور يمشي بيا شور ماكدونالدز,مستحفي خوي -- مافم حد يدور يمشي بيا شور ماكدونالدز,"Mido horta sehil am, alaa mo yiɗi naddude mi to McDonalds...",i'm bored dude ¬¬ nobody wants to take me to mcdonalds...,negatif,non
tweets,يااي جبرتهم,يااي جبرتهم,@arataka eyy! a tawi ɓe!!!,@arataka yay!  you found them!!!,positif,non
tweets,.GuiPulp مفتوح,.GuiPulp مفتوح,GuiPulp udditma,GuiPulp is open,neutre,non
tweets,اندور نتنگل شور لندن.,اندور نتنگل شور لندن.,Mido yiɗi yahde jooɗade London,I want to move to London,neutre,non
tweets,ابقيت ذه انهار.,ابقيت ذه انهار.,Mido yiɗnoo hannde ndee sanne,I loved today,positif,non
tweets,زين حت، انزاد كونتراهي لشهر ثاني.,زين حت، انزاد كونتراهي لشهر ثاني.,"No woodi, contract am ɓesdaama lewru kadi","Nice, my contract was extended for another month",positif,non
tweets,اغاني تايلور تعدلي نوع من السعادة عجيب مانعرف سببو ههه,اغاني تايلور تعدلي نوع من السعاده عجيب مانعرف سببو هه,"Yimre Taylor Swift ina weltina mi, mi waawaa faamde hol ko waɗi haha","taylor swift's songs make me happy, i don't know why haha",positif,non
tweets,عند ستاربوك ، مع العروس الجاية و ختها,عند ستاربوك ، مع العروس الجايه و ختها,Starbucks miin e debbo mbo jooni jooni resata e joomum debbo,starbucks with the soon-to-be bride and her sister,neutre,non
tweets,جيت لدار اگبال فالوقت اياك انشوف شيلسا لاتلي.,جيت لدار اگبال فالوقت اياك انشوف شيلسا لاتلي.,Mido hooti suudu e waktu lobbo ngam Chelsea Lately,Home just in time for Chelsea Lately,neutre,non
tweets,ماني متمونك و كرشي توجعني . ماشي لهي نتغدى و نخرص الأوبرا الثالثة - ذ هو لي لهي يحسن مزاجي,ماني متمونك و كرشي توجعني . ماشي لهي نتغدي و نخرص الاوبرا الثالثه - ذ هو لي لهي يحسن مزاجي,"Mido sellani, reedu am ina metti. Mido yaha ñaamde ñaamdu kadi ndarron-mi Oprah e waktuuji 3 - ɗum ma wallito mi mbele mido sella",Feeling bad   My stomach hurts. Going to have lunch and watch Oprah at 3 o'clock - that will make me feel better,negatif,non
tweets,الشغلة مرة أخرى ! لي اسبوع ما ريت يوم راحة... دحسوني ذو ستار بوكس,الشغله مره اخري ! لي اسبوع ما ريت يوم راحه.. دحسوني ذو ستار بوكس,Mido golla kadi hannde! Mi danyaani ñalngu fof gila yontere kadi...,Working AGAIN today!  I haven't had a day off in over a week...I'm so sick of starbucks,negatif,non
tweets,گايس فيگاس يقير يبقي ايگيس سياتل.,گايس فيگاس يقير يبقي ايگيس سياتل.,Mido yaha Vegas kono mido yiɗnoo yahde Seattle,Is going to Vegas but wanting to go to Seattle,negatif,non
tweets,علاش لا لين تجبر يوم راحة من الشغلة تمرض ؟,علاش لا لين تجبر يوم راحه من الشغله تمرض ؟,Hol ko waɗi kala nde a danyi waktu fooftorde e golle a nawat?,Why is that when you have time off from work you get sick?,neutre,non
tweets,ليبرون جيمس مالو ؟,ليبرون جيمس مالو ؟,Hol ko waɗi LeBron James?,what's wrong with LeBron James?,negatif,non
tweets,مشيگان من ؟ ذو ماعرفتهم .  اووف ياللعار,مشيگان من ؟ ذو ماعرفتهم . اووف ياللعار,Michigan ko hol ɓee? Mi anndaa ɓe. (mido horta) Ko huunde gattaymsettee!,Michigan who?  I don't know them.                   *sigh*   Shameful!,negatif,non
tweets,من دون تلفون ... ظرك حد يرگد,من دون تلفون .. ظرك حد يرگد,ALAA TELEPHONE... JOONI MIDO YAHA ƊANNGAL,IS PHONELESS  ...NOW OFF TOO SLEEP,negatif,non
tweets,صحابي على الفيسبوك طعنوهم تويتاتي,صحابي علي الفيسبوك طعنوهم تويتاتي,@hemanshujain - My facebook friends were pissed with my tweets,@hemanshujain - My facebook friends were pissed with my tweets,negatif,non
tweets,مانراعي فالمشكله لكبيره فذه الموقع.,مانراعي فالمشكله لكبيره فذه الموقع.,Mi yiyani hujjere mawnde e website oo,i don't see the big deal with this website,negatif,non
tweets,"فالدار اياك انوفي راحة ألاوه, يقير مافم حد فالدار.","فالدار اياك انوفي راحه الاوه, يقير مافم حد فالدار.",Mido suudu ngam spring break. Kono alaa neɗɗo e suudu ndee,home for spring break. no one is home tho,negatif,non
tweets,"آها آها, كيف شي حساسية الزهور عادت لاهي تهجم اعلين.","اها اها, كيف شي حساسيه الزهور عادت لاهي تهجم اعلين.","Oh oh, jontere hayfever fuɗɗiima kadi.","Oh oh, Hayfever attack coming on.",negatif,non
tweets,الحگ وقت اوخيظ ببيهت هوارد! بايْ بايْ ليبرون!,الحگ وقت اوخيظ ببيهت هوارد! باي باي ليبرون!,Waktu hewti ngam waddude puppet Howard! Njaaraama LeBron!,Time to break out Howard's puppet! Bye bye LeBron!,negatif,non
tweets,مريض بحمه مانعه.,مريض بحمه مانعه.,Mido leloo e jontere tiiɗnde,Down with a nasty fever,negatif,non
tweets,"ارجعت ظرك من المرصه, اشريت كرت مموار 8GB لجهاز psp, هي الحگ.","ارجعت ظرك من المرصه, اشريت كرت مموار 8GB لجهاز psp, هي الحگ.","Mido hooti gila jeere, mi soodi memory card 8GB ngam psp ndee, jooni jooni.","Just got back from market-market, bought the 8GB memory card for the psp, already.",negatif,non
tweets,امشارك ذي الصبحايه فسباق Beat the Bridge فسياتل! يالل ايعود الجو زين.,امشارك ذي الصبحايه فسباق Beat the Bridge فسياتل! يالل ايعود الجو زين.,"Mido waɗa doggol ""Beat the Bridge"" to Seattle subaka hannde! Ma woodat sifa sanne",Doing Beat the Bridge race in Seattle this morning! Should b beautiful,neutre,non
tweets,"كالي اشحال اصباحك, مرحب بهلي ففيگاس.","كالي اشحال اصباحك, مرحب بهلي ففيگاس.","Subaka lobbo Cali, mido salmina ɓesngu am to Vegas",Goodmorning cali  hi to my vegas family,positif,non
tweets,انخرص ففيديوهات ايظحك فيوتيوب.,انخرص ففيديوهات ايظحك فيوتيوب.,Mido ndarra videoji jalniiɗi e Youtube,watching funny youtube vidoes,positif,non
tweets,هاهاهاهاهاها ذ حگ عندكم اوه نگدو نحانو ميشيل لين تجي نعودو نمشو نگبظُ شي من ستار بوكس,هاهاهاهاهاها ذ حگ عندكم اوه نگدو نحانو ميشيل لين تجي نعودو نمشو نگبظ شي من ستار بوكس,"HAHAHAHAHAHA e goonga, en mbaawaa habbade haa Michelle arata ɗoo kadi en njaah bamen huunde to McDonalds walla Sonic, kala heen wooturu ina woodi",HAHAHAHAHAHA seriously uh well we can wait 4 michelle 2 get here and we can go get something from mcdonalds  or sonic  either 1 its good,positif,non
tweets,"للهام يتكون من 98% لعمال الشاقه, 1% شانص, 1% يوتيوب.","للهام يتكون من 98% لعمال الشاقه, 1% شانص, 1% يوتيوب.","Hakkille lobbo ko 98% golle tiiɗɗe, 1% arsike, kadi 1% Youtube.","inspiration is 98% hard work , 1% luck, and 1% youtube.",neutre,non
tweets,انگد انگيس لندن اسبوع الجايْ.,انگد انگيس لندن اسبوع الجاي.,Mbe mido yaha London yontere garande,May be going to London next week,positif,non
tweets,نبقي الصور كاملين الي اينعتُ اعلني شارب اعل فيسبوك.,نبقي الصور كاملين الي اينعت اعلني شارب اعل فيسبوك.,Mido yiɗi fotooji am fof ɗi mbad-mi e Facebook tawa mi yarndi,love all the drunk pics on facebook of me,positif,non
tweets,حاس بعلني ماني محبب. افقدت ولل طاحولي اثنين من تغريدات.,حاس بعلني ماني محبب. افقدت ولل طاحولي اثنين من تغريدات.,Mido sike alaa mo yiɗi mi. Sehilaabe rewbe ɗiɗo e Twitter njaahi,i feel unloved. dropped 2 tweeters,negatif,non
tweets,شكرا لمتابعيني اجداد,شكرا لمتابعيني اجداد,Mido yetta ɓe ngari e laawol am jooni ɓee!,Thanks to my new followers!,positif,non
tweets,ندور نرگد يغير غالبتني,ندور نرگد يغير غالبتني,Mido yiɗi kono mi waawaa ɗanaade,"l want, but I can't sleep",negatif,non
tweets,كلبي فيه السرطان,كلبي فيه السرطان,Boofi am ina danyi rafi cancer.,my dog has cancer.,negatif,non
tweets,الجماعة يالل تخرصو فريد على يوتيوب هو يوتيوبرنا المفضل,الجماعه يالل تخرصو فريد علي يوتيوب هو يوتيوبرنا المفضل,"Mbele foti ko ndarrat-en Fred e Youtube, kanko woni hoodere ndee mbe mbur-en yiɗde e Youtube",you guys should check out fred on youtube hes our favorite youtube star,positif,non
tweets,طراريمي وجعوني فحصة بيولوجي,طراريمي وجعوني فحصه بيولوجي,Mido e jangirde biology. Tondu am ina metti,in biology class. my lip hurts,negatif,non
tweets,شرجير ايفون اخسر,شرجير ايفون اخسر,Charger iPhone am mbonniima,iphone charger died,negatif,non
tweets,@hellivina انا ملي توحشتهم,@hellivina انا ملي توحشتهم,@hellivina Mido miccoo ɓe kadi.,@hellivina I miss 'em too.,negatif,non
tweets,فالمطار نجهز لاه نمشي عن فيغاس,فالمطار نجهز لاه نمشي عن فيغاس,Mido e airport mido banna mbele mi ummoo Vegas,In the airport getting ready to leave vegas,neutre,non
tweets,الحمة الا تنزاد,الحمه الا تنزاد,Jontere ndee ina fuɗɗo mawnude kadi,Fever is on the up and up,negatif,non
tweets,عندي مشكلة أمع إمتحان القانون,عندي مشكله امع امتحان القانون,Mido woni e golle tiiɗɗe e saria eam law,struggling with eam law,negatif,non
tweets,نبغي نسكن ف لندن,نبغي نسكن ف لندن,Mido yiɗi jooɗade London sanne sanne,I want to live in London so bad,positif,non
tweets,ثمانية من أثمانية إنجلترا لاه تنقلب,ثمانيه من اثمانيه انجلترا لاه تنقلب,8 e 10. Leydi Angleterre ina yahra e poolgu,8 from 8. England are heading for defeat,negatif,non
tweets,راسي يوجعني,راسي يوجعني,Hoore am ina metti,I have a headache,negatif,non
tweets,ان شاء الله اتعود مايكروسوفت صلحت xboxlive  و marketplace امعصبح ، البارح ماكان عندي حظ امعاهم … نختير نلعب samandmax,ان شاء الله اتعود مايكروسوفت صلحت xboxlive و marketplace امعصبح ، البارح ماكان عندي حظ امعاهم .. نختير نلعب samandmax,"Mido yaako Microsoft ina banni #xboxlive #marketplace subaka hannde, jamma yawtundo oo mi danyaani arsike e makko.. Mido yiɗi fijirde #samandmax",I hope Microsoft have fixed #xboxlive #marketplace this morning last night I was having 0 luck with it .. I want to play #samandmax,negatif,non
tweets,يواجعه ، وحده من ذوك اللحظات ماكانت بذاك من الحماس,يواجعه ، وحده من ذوك اللحظات ماكانت بذاك من الحماس,"@georgeruiz Ko kaymettinaari, wooturu e oon sahaa wonaa mbaroodi squid monster mawndi.",@georgeruiz Unfortunately one of those moments wasn't a giant squid monster.,negatif,non
tweets,@BleuMuze امشيت نلعب  فبلد الألعاب و خرصت فيلم نگر مدينة سايتل .. وگست مرصة بايك بليس ، يغير اجبرتو گافل,@BleuMuze امشيت نلعب فبلد الالعاب و خرصت فيلم نگر مدينه سايتل .. وگست مرصه بايك بليس ، يغير اجبرتو گافل,"@BleuMuze mi yahi gameworks e cinema e hakkunde wuro Seattle.. mi yahi haa jeere pike place market, kono ko huɗaama","@BleuMuze  Hit up gameworks and a movie in downtown Seattle.. went down to pike place market, but it was closed",negatif,non
tweets,اتوحشتك اتويتر ، تلفوني خسرت ، وظرك انعمل تلفون نوكيا عليله  ، اوووف ، اتوحشت تلفوني الزينه,اتوحشتك اتويتر ، تلفوني خسرت ، وظرك انعمل تلفون نوكيا عليله ، اووف ، اتوحشت تلفوني الزينه,"Mido miccoo maa Twitter. Telephone am mbonniima, jooni mido gollata e telephone Nokia mo woodaani sifa. Ughhh, mido miccoo telephone am mbo ardiima oo.","I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone.",negatif,non
tweets,هههه گلتلك عن فريق cavs يستحق سلحگ النهائيات … يغير شكرا على السولان,هه گلتلك عن فريق cavs يستحق سلحگ النهائيات .. يغير شكرا علي السولان,@iLoveLyci (jalnii) mi wiytatnoo CAVS fotti ko wonde e final.. kono mido yetta maa e kala sifa,@iLoveLyci lol i said the CAVS deserve to be in the finals.. but thanks for banging on me anyways,positif,non
tweets,متكه اكبير زين يغير امكدر و وحيد من دون زوج ولا كلب ولا مش ، كافي افترت من لمجي للمؤتمرات,متكه اكبير زين يغير امكدر و وحيد من دون زوج ولا كلب ولا مش ، كافي افترت من لمجي للمؤتمرات,"Leloode mawnde ina woodi kono ina mettini kadi mi woodi miin tan tawa alaa gorko, boofi walla muusa. Mi lannii golle conference oo fof.","A king sized bed is nice but sad and lonely with no hubby, puppy, or kitty   I am over this whole conferenceing thing.",negatif,non
tweets,وهاي حي للدار بالعجلة !!!!! أنا مت بي الدحسة دون يوتيوب,وهاي حي للدار بالعجله !! انا مت بي الدحسه دون يوتيوب,@breannalovesjb yaaw hootde suudu!!!!! mido maaya tawa alaa Youtube,@breannalovesjb hurry up home!!!!! im dying with no youtube,negatif,non
tweets,هههه عندي لا جهاز psp كان عندي game boy يغير وغدو ول عمي و عندي ظرك لا N64,هه عندي لا جهاز psp كان عندي game boy يغير وغدو ول عمي و عندي ظرك لا N64,"@jordanhowell (jalnii) ko PSP tan, mi danynoo game boy kono sehil am gorko majjini ɗum &amp; kadi N64 ina woodi ɗoo","@jordanhowell lol only a PSP, had a game boy but my cousin lost it  &amp; theres a N64 around",negatif,non
tweets,اصباح الخير الجماعه ، ذا انهار زين هون في انيو إنجلاند,اصباح الخير الجماعه ، ذا انهار زين هون في انيو انجلاند,Subaka lobbo e winndere ndee fof! Ñalngu nguu ina woodi sanne ɗoo e New England!,Good morning everyone!  It is such a beautiful day here in New England!,positif,non
tweets,مرحب شباب ، تعرفو شخلگ ؟ فريق ليكرز انجح ، و كوبي هو أفضل لاعب ، ابغيت انگولكم ذي الطاريه هههه,مرحب شباب ، تعرفو شخلگ ؟ فريق ليكرز انجح ، و كوبي هو افضل لاعب ، ابغيت انگولكم ذي الطاريه هه,"Eyy, anndu hol ko waɗi @magicmanil, Lakers pooli kadi KOBE woni mvp, mi sike mido wiytata maa ɗum haha",hey guess was @magicmanil the Lakers won and KOBE is mvp  just thought I would tell ya haha,positif,non
ethno_realigne,بسمن حال يستقبل اهل انواكشوط عيد الاضحي.,بسمن حال يستقبل اهل انواكشوط عيد الاضحي.,No yimɓe Nuwaasoot mbaɗirta jaɓɓorgol Iidi Layhaaji.,How the people of Nouakchott welcome Eid al-Adha.,neutre,non
ethno_realigne,ما مردود في ذ ليام في انواكشوط يكون اخبار العيد.,ما مردود في ذ ليام في انواكشوط يكون اخبار العيد.,Ko yiilotoo e ñalɗi ɗii e Nuwaasoot ko haala Iidi ngoo.,What is going around these days in Nouakchott is the talk of the Eid.,neutre,non
ethno_realigne,في الاسرة مشدوده اخبار العيد، في الشارع مشدوده اخبار العيد، وفي لسواق ومحلات لحفول الناس.,في الاسره مشدوده اخبار العيد، في الشارع مشدوده اخبار العيد، وفي لسواق ومحلات لحفول الناس.,"E nder ɓesngu ko Iidi haaletee, e mbedda ko Iidi, kadi e luuɓe e salon-ji yimɓe ina pooɗondiri.","Within the family the talk is the Eid, in the street the talk is the Eid, and in the markets and the salons people are crowded together.",neutre,non
ethno_realigne,<<الا ويل امك يا الوران>>، ما باگي عنهم يكون <<ال ما عند مبيت ليل>> ولا اجبر وسيل اسو شنه إگد يجبر الفظة.,<<الا ويل امك يا الوران>>، ما باگي عنهم يكون <<ال ما عند مبيت ليل>> ولا اجبر وسيل اسو شنه اگد يجبر الفظه.,Ina foti; hay gooto heddaaki so wonaa mo alaa ɗo waaloo walla mo heɓataa hay laawol kaalis.,It is overwhelming; almost no one is left except someone who has nowhere to spend the night or who can find no means at all of getting money.,negatif,non
ethno_realigne,والغريب ان لمر تدخل صالوه اظفير واتخلص ٣٠٠٠ اوقية ويركبلها طون من ازغب.,والغريب ان لمر تدخل صالوه اظفير واتخلص ٣٠٠ اوقيه ويركبلها طون من ازغب.,"Ko haawnii ko debbo ina naata salon ñakka, ina yoɓa 3000 uguiyya, ina ɓillee leeɗe fewre.","What is strange is that a woman goes into a nail salon, pays 3,000 ouguiya, and has fake hair put on for her.",negatif,non
ethno_realigne,واتگيس صالوه الحن واتخلص ياسر من الفظة لياك تحن.,واتگيس صالوه الحن واتخلص ياسر من الفظه لياك تحن.,"Refti o yaha salon henne, o yoɓa kaalis keewɗo tan ngam wuɗɗagol henne.",Then she visits the henna salon and pays out a lot of money just to get henna done.,negatif,non
ethno_realigne,وتدخل صالوه الحلوة واتخلص ياسر اوخر وتشري ياسر من لملاحف.,وتدخل صالوه الحلوه واتخلص ياسر اوخر وتشري ياسر من لملاحف.,"O naata kadi salon cuɗaari, o yoɓa ko ɓuri heewde, o soodi mulahfaaji keewɗi.","And she enters the beauty salon and pays a great deal more, and buys many veils (mlahfa).",negatif,non
ethno_realigne,وهذا كامل اعلي احساب راجلها ولا غاديلها في ال يعگب ذاك.,وهذا كامل اعلي احساب راجلها ولا غاديلها في ال يعگب ذاك.,"Ɗum fof ko e kaalis gorko makko, hay sinno ɗum bonnata mo caggal.","And all of this is at her husband's expense, even if it ruins him afterward.",negatif,non
ethno_realigne,اخلگ حوار امبين راجل وامر، گال الها ذ ما إگد إصح من لخصار.,اخلگ حوار امبين راجل وامر، گال الها ذ ما اگد اصح من لخصار.,Luural ummii hakkunde gorko e debbo makko; o wii mo ɗum waawaa jokkude sabu nafaqa ndee.,A dispute arose between a man and his wife; he told her this could not be sustained because of the expense.,negatif,non
ethno_realigne,گالتل: (الا الحگت الناس عور اكصر في عينك)، وان اصحابات كاملات امعدلات ذ، وان الا وحد منهم.,گالتل: (الا الحگت الناس عور اكصر في عينك)، وان اصحابات كاملات امعدلات ذ، وان الا وحد منهم.,"O jaabii: 'So mi rewi e yimɓe, ɗum ina ustana maa gacce; sehilaaɓe am fof ina mbaɗa noon, miin ko mi gooto e maɓɓe.'","She replied: 'If I keep up with people, it lessens your shame, and all my friends are doing this, and I am just one of them.'",negatif,non
ethno_realigne,گال الها: لاه نعطيك الفظة، يغير بعد، الين ما اتراي شي توكليه عاگب العيد لا اتلومي يكون راصك.,گال الها: لاه نعطيك الفظه، يغير بعد، الين ما اتراي شي توكليه عاگب العيد لا اتلومي يكون راصك.,"O wii mo: 'Ma mi hokku maa kaalis, kono caggal so a heɓaani ko ñaamɗaa ɓaawo Iidi, felo hoore maa tan.'","He told her: 'I will give you the money, but later, when you have nothing to eat after the Eid, blame only yourself.'",negatif,non
ethno_realigne,<<ال بيه ايد ما توجع>>.,<<ال بيه ايد ما توجع>>.,"Ñaawoore: 'Junngo ngo wonaa maa, ngo muusataa ma.'",Proverb: 'The hand that is not yours does not hurt you (you don't feel another's loss).',neutre,non
ethno_realigne,هذ اجماع ال بنكالها كاصكاديرات.,هذ اجماع ال بنكالها كاصكاديرات.,Ko ndee fedde noddetee 'cascadeurs'.,This is the group that is called 'cascadeurs' (stunt kids).,neutre,non
ethno_realigne,كل انهار عاگب انهار تتبدل الحيات في انواكشوط ويطر شي اجديد.,كل انهار عاگب انهار تتبدل الحيات في انواكشوط ويطر شي اجديد.,"Ñalawma kala, nguurndam Nuwaasoot ina waylo, kadi huunde hesere ina feeɲa.","Day after day, life in Nouakchott changes and something new appears.",neutre,non
ethno_realigne,امن ال ل سنوات گام اطفل هون وعاد إعدل العاب زين بالدرجات، وشاع وعادت الناس كامل اتشد اخبار وتمشي تتنيمش في ذ ال إعدل.,امن ال ل سنوات گام اطفل هون وعاد اعدل العاب زين بالدرجات، وشاع وعادت الناس كامل اتشد اخبار وتمشي تتنيمش في ذ ال اعدل.,"Duuɓi ɓennuɗi, suka gooto fuɗɗii waɗde piyle lobbe e mbiisikileeji; ɗum saraa, fof fuɗɗii haalde ɗum e ndaarde ko o waɗata.","Years ago a child here began doing fine tricks on bicycles; it spread, and everyone started talking about it and going to watch what he was doing.",positif,non
ethno_realigne,اتلاو اولاد البطارين كاملين إحامروه وإحاول يحرك تحراك، وخلگت هذ اجماع ال ينگالها كاصكاديرات.,اتلاو اولاد البطارين كاملين احامروه واحاول يحرك تحراك، وخلگت هذ اجماع ال ينگالها كاصكاديرات.,"Sukaaɓe alɗuɓe fof fuɗɗii ɗoftaade mo e enndaade waɗde cascade, ko noon ndee fedde 'cascadeurs' jibinaa.","All the well-off boys started copying him and trying to do stunts, and so this group called 'cascadeurs' was born.",neutre,non
ethno_realigne,وهذ اجماع امبوشل برواحهم وبوتاتهم ولا قاديلهم شي الا ماشين كصار؛ كلهم يشري اهل وت زين وسابگ ويمشي بيها يتعلم تحراك كصكاديرات.,وهذ اجماع امبوشل برواحهم وبوتاتهم ولا قاديلهم شي الا ماشين كصار؛ كلهم يشري اهل وت زين وسابگ ويمشي بيها يتعلم تحراك كصكاديرات.,"Ndee fedde ko e koye mum en e motooji mum en woni, ɓe ngalaa miijo so wonaa waɗde piyle; gooto kala ina sooda moto moƴƴo yaawngo o yaha o jannga cascade.","This group is absorbed in themselves and their motorbikes, caring about nothing but doing tricks; each buys a good, fast bike and goes off to learn cascadeur stunts.",negatif,non
ethno_realigne,بالنسبة الهم حد حراك إتم إعدل <<دبار آمركا>>، ووف عداد السيارة وال الدراجة.,بالنسبه الهم حد حراك اتم اعدل <<دبار امركا>>، ووف عداد السياره وال الدراجه.,"E maɓɓe, kala piyoowo ina sikkita ina waɗa 'amerikiyaagal', ɓe mbaɗa pottal ngam ƴeewde yaawre oto walla moto.","For them, anyone doing a stunt acts like he is performing an 'American' move, and (they race) measuring the speed of car or motorbike.",neutre,non
ethno_realigne,وعندهم ايام يجابر فيهم اعلى حاشيت لبحر، إتم إطلع وتات ٥٠٤ اعلي الزيرات ويكتب رقم ٨ بالسيارة ورصف امتار بالدراجة.,وعندهم ايام يجابر فيهم اعلي حاشيت لبحر، اتم اطلع وتات ٥٠٤ اعلي الزيرات ويكتب رقم ٨ بالسياره ورصف امتار بالدراجه.,"Ñalɗi goɗɗi ɓe mooɓondira e dow maayo, ɓe ɗammba Peugeot 504 e dow seeno, ɓe winnda 8 e oto, ɓe rewna mbordi e moto.","On some days they gather on the seashore, ride a Peugeot 504 up over the dunes, draw a figure 8 with the car and line up meters with the motorbike.",neutre,non
ethno_realigne,ودائما إلين يدخل في الدشر إعدل حوادث، امتين بيهم ال ماهم متكايسين.,ودائما الين يدخل في الدشر اعدل حوادث، امتين بيهم ال ماهم متكايسين.,"Kadi sahaa fof, so ɓe naati e wuro, ɓe addata aksidaaji, sabu ɓe reentaaki.","And always, when they come into the town, they cause accidents, since they are not careful.",negatif,non
ethno_realigne,<<ال ما عس اعلى راص ما إر حد إعس اعليه>>.,<<ال ما عس اعلي راص ما ار حد اعس اعليه>>.,"Ñaawoore: 'Mo reenaani hoore mum, alaa mo reenanta mo ɗum.'",Proverb: 'Whoever does not look out for his own head finds no one to look out for it for him.',neutre,non
ethno_realigne,<<السالم اسمين يوكل اربيع داير>>.,<<السالم اسمين يوكل اربيع داير>>.,"Ñaawoore: 'Hisɗo o, ɓutto, ina ñaama huɗo banne fof.'","Proverb: 'The safe man, fat, eats grass all around (he is well off and at ease).'",positif,non
ethno_realigne,الخيمه وال العرس.,الخيمه وال العرس.,Tilliisa e kewu dewgal.,The tent and the wedding.,negatif,non
ethno_realigne,العرس عندنا هون في موريتان مسل مهمه حت، لان كل راجل اتفگرش يتحتم اعليه يتخيم.,العرس عندنا هون في موريتان مسل مهمه حت، لان كل راجل اتفگرش يتحتم اعليه يتخيم.,"E men ɗoo Muritani, dewgal ko huunde mawnde haa kala gorko miijiiɗo ɗum ina foti darnude tilliisa.",Among us here in Mauritania the wedding is so important that any man who thinks of it must set up a tent.,neutre,non
ethno_realigne,ويمشي إلود لعروس راضيت وال يگبظ منت عم، وإمشيلها خطبه إلين تگبل، إج اشيوخ ويعقدوها ويعطيهم آصداق.,ويمشي الود لعروس راضيت وال يگبظ منت عم، وامشيلها خطبه الين تگبل، اج اشيوخ ويعقدوها ويعطيهم اصداق.,"O yaha o ɗaɓɓa debbo jiɗɗo, walla o suɓoo ɓiy baaba-gorel, o ɓaɗtoo mo haa o jaɓa; refti mawɓe ngara ɓe ndewɗina ɓe, o yoɓa teŋe.","He goes to find a willing bride, or chooses a paternal cousin, and asks for her hand until she accepts; then the elders come, marry them, and he gives the dowry.",neutre,non
ethno_realigne,وإفوت اطبل آثلت اليال للعقد، وتبنتا للعرس.,وافوت اطبل اثلت اليال للعقد، وتبنتا للعرس.,"Refti jemmaaji tati fijirde ngam aadi ngal, tilliisa darnee ngam dewgal.","Then come three nights of drumming for the contract, and the tent is set up for the wedding.",negatif,non
ethno_realigne,خيمه مركب لفريك أسمها خيمت آرگ، وأتجيها الناس كاملها وأتجيب أمعاها قدواتها.,خيمه مركب لفريك اسمها خيمت ارگ، واتجيها الناس كاملها واتجيب امعاها قدواتها.,"Tilliisa darnaaɗo ngam wuro ngoo, ino wiyee 'tilliisa arg'; fof ina ara e mum, gooto kala ina adda geɗal ñaamri mum.","A tent set up for the camp, called the 'tent of arg'; everyone comes to it, each bringing their food contributions.",neutre,non
ethno_realigne,وتحفل لعروس حت وتلبس ملحفه من النيل، ويلبس لعريس حول من النيل، ويتغمبر عن ارواگيج لكبار مدت العرس.,وتحفل لعروس حت وتلبس ملحفه من النيل، ويلبس لعريس حول من النيل، ويتغمبر عن ارواگيج لكبار مدت العرس.,"Debbo o ina teddinee o ɓoorna mulahfa nila, gorko o ɓoorna wutte nila, o suuɗoo e mawɓe ɓee fawti e dewgal ngal.","The bride is celebrated and wears an indigo veil, the groom wears an indigo wrap and stays hidden from the elders for the duration of the wedding.",positif,non
